               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.023252,            0.018619,                   0,             0.99402,             0.99423,             0.99469,             0.76614,            0.018798,            0.015397,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023229,            0.018961,                   0,             0.99653,             0.99447,              0.9949,             0.76915,            0.018764,            0.015787,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022494,            0.018383,                   0,             0.99767,             0.98939,             0.99479,             0.79116,            0.016688,            0.014819,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022942,            0.018731,                   0,             0.99956,             0.99423,               0.995,             0.79282,            0.016723,            0.015008,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022631,            0.018554,                   0,             0.99768,             0.99523,               0.995,             0.78013,             0.01863,            0.015556,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022131,            0.018021,                   0,             0.99651,             0.99004,             0.99479,             0.77635,            0.017328,            0.015498,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021253,            0.017721,                   0,             0.99829,             0.99654,               0.995,             0.77922,            0.018044,             0.01513,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.021114,            0.017558,                   0,             0.99203,             0.98614,             0.99444,             0.78806,            0.016648,             0.01509,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021295,            0.017668,                   0,             0.99133,             0.99654,             0.99475,             0.77866,            0.018565,            0.015904,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02081,            0.017595,                   0,             0.99654,             0.99733,               0.995,             0.80774,            0.016565,            0.014405,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020936,            0.017412,                   0,             0.99616,             0.99654,             0.99495,             0.79472,            0.016575,            0.014144,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020852,            0.017346,                   0,             0.99653,             0.99626,               0.995,             0.80393,            0.015356,            0.013874,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020188,            0.017211,                   0,             0.99506,             0.99769,             0.99469,             0.81615,            0.015405,            0.013938,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02005,            0.017256,                   0,             0.99423,             0.99409,             0.99492,             0.81151,            0.015435,            0.014608,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019989,            0.016923,                   0,             0.99638,             0.99654,             0.99492,             0.82091,            0.014992,            0.013736,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.019454,            0.016947,                   0,             0.99729,             0.99769,             0.99477,             0.82502,            0.014952,            0.013762,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019178,            0.016163,                   0,             0.99782,             0.99769,             0.99492,             0.81528,             0.01519,            0.013905,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019095,            0.016569,                   0,             0.99961,             0.99654,               0.995,             0.82243,            0.014628,            0.013436,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.019129,            0.016797,                   0,             0.99833,             0.99769,               0.995,              0.8188,            0.015169,            0.013428,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.018241,            0.016252,                   0,             0.99637,             0.99769,             0.99499,             0.83072,            0.014369,            0.013316,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.018285,            0.016193,                   0,             0.99755,             0.99769,               0.995,              0.8184,            0.015299,              0.0133,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018457,            0.016624,                   0,             0.99654,             0.99878,             0.99491,             0.84158,            0.013685,            0.012897,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.017655,            0.015804,                   0,             0.99884,             0.99857,               0.995,             0.83885,            0.014184,            0.012899,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.017372,            0.015792,                   0,             0.99639,             0.99769,             0.99499,             0.84002,            0.013519,            0.012784,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.017449,            0.015296,                   0,             0.99618,             0.99885,               0.995,             0.82806,            0.013913,            0.013112,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.017384,            0.015726,                   0,             0.99769,             0.99881,               0.995,             0.84169,            0.013862,            0.013139,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.016818,             0.01592,                   0,             0.99667,             0.99538,             0.99499,             0.84703,            0.013103,              0.0128,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016785,            0.015199,                   0,             0.99713,             0.99885,               0.995,             0.84263,            0.013303,            0.012712,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016826,            0.015651,                   0,             0.99769,             0.99853,               0.995,             0.84581,            0.013069,             0.01282,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.016419,            0.014957,                   0,             0.99769,             0.99748,               0.995,             0.85661,            0.012853,            0.012372,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.016182,            0.015164,                   0,              0.9971,             0.99885,               0.995,             0.84529,            0.013475,            0.012667,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.01602,            0.014537,                   0,             0.99634,             0.99885,               0.995,             0.85362,            0.012651,             0.01218,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016041,            0.015279,                   0,             0.99642,             0.99885,               0.995,             0.85673,            0.012763,            0.012442,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.015713,              0.0142,                   0,             0.99613,             0.99885,             0.99493,              0.8556,            0.012342,            0.012235,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.015355,            0.014189,                   0,             0.99654,             0.99884,             0.99499,              0.8608,            0.012268,            0.012118,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.015492,            0.014887,                   0,             0.99651,             0.99885,             0.99494,             0.86165,            0.012431,            0.012261,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.015273,            0.014865,                   0,             0.99643,             0.99885,             0.99493,             0.86333,            0.012312,            0.012157,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015418,            0.014519,                   0,             0.99642,             0.99885,             0.99499,             0.86173,            0.012351,            0.012022,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.014626,            0.013723,                   0,             0.99765,             0.99769,               0.995,             0.86086,            0.012277,            0.012107,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.014401,            0.014324,                   0,             0.99751,             0.99769,               0.995,              0.8634,            0.012341,            0.012213,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.014205,            0.014019,                   0,             0.99738,             0.99885,             0.99499,             0.86562,            0.012018,            0.011888,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.014532,            0.014479,                   0,             0.99764,             0.99885,               0.995,             0.87028,            0.011867,            0.011909,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.014184,            0.013662,                   0,             0.99654,             0.99806,             0.99498,             0.86485,             0.01203,            0.012155,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.014303,            0.014032,                   0,             0.99708,             0.99885,             0.99486,             0.87731,            0.011608,            0.011729,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.013889,            0.013847,                   0,             0.99725,             0.99885,              0.9949,             0.87292,            0.011699,             0.01168,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.014156,            0.013651,                   0,             0.99657,             0.99885,             0.99499,             0.86189,            0.012123,            0.012155,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.013869,             0.01365,                   0,             0.99642,             0.99885,             0.99494,              0.8737,            0.011625,            0.011597,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.013593,            0.013455,                   0,             0.99642,             0.99885,             0.99497,             0.87469,            0.011646,            0.011505,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.013335,             0.01345,                   0,             0.99654,             0.99867,             0.99498,              0.8771,             0.01138,            0.011429,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.013403,            0.012749,                   0,             0.99539,             0.99767,             0.99498,             0.87869,            0.011263,            0.011282,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.013336,            0.013173,                   0,             0.99752,             0.99654,               0.995,             0.87725,            0.011333,            0.011427,                   0,            0.001288,            0.001288,            0.001288
