               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019921,            0.015606,                   0,             0.99769,             0.99688,             0.99488,             0.82195,            0.015886,            0.013656,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.019497,            0.016066,                   0,             0.99857,             0.99885,               0.995,             0.83466,             0.01381,            0.012236,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018845,            0.015384,                   0,             0.99972,             0.99885,               0.995,             0.83534,            0.014543,            0.012464,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018558,            0.015562,                   0,             0.99757,             0.99885,               0.995,             0.83904,            0.014158,            0.012565,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018991,            0.015555,                   0,             0.99797,             0.99769,             0.99499,             0.85245,             0.01285,            0.012316,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.018755,            0.015294,                   0,             0.99769,             0.99781,             0.99431,             0.84742,            0.013078,            0.012285,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.01731,            0.014775,                   0,             0.99953,             0.99769,               0.995,             0.84222,            0.013621,            0.012028,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.018086,            0.014901,                   0,             0.99948,             0.99885,               0.995,             0.85102,             0.01237,            0.012069,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.018236,            0.015001,                   0,             0.99884,             0.99814,               0.995,             0.82871,            0.014789,            0.013033,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.017568,            0.014511,                   0,             0.99961,             0.99885,               0.995,             0.86265,            0.011877,            0.011487,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.016935,            0.014293,                   0,             0.99955,             0.99885,               0.995,              0.8542,            0.012031,            0.011545,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.017036,            0.014354,                   0,             0.99862,             0.99769,               0.995,             0.85525,            0.011979,            0.011575,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.016863,            0.014371,                   0,             0.99862,             0.99885,             0.99499,             0.86703,            0.012131,            0.011306,                   0,             0.00505,             0.00505,             0.00505
