               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.023368,            0.013083,                   0,             0.99151,             0.99307,              0.9948,             0.74776,            0.019527,             0.01125,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02321,            0.013227,                   0,             0.99718,              0.9873,              0.9948,              0.7541,            0.019659,            0.011077,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022467,            0.012845,                   0,             0.99367,             0.99192,             0.99487,             0.77064,            0.018379,             0.01086,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022367,            0.012903,                   0,             0.98738,             0.99076,             0.99385,             0.75032,            0.019768,             0.01192,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022185,            0.012707,                   0,             0.98728,             0.99538,             0.99491,             0.77942,            0.017694,            0.010646,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022045,            0.012368,                   0,             0.99209,             0.98845,             0.99486,             0.77842,            0.018131,            0.011008,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021219,            0.012358,                   0,             0.99768,             0.99165,             0.99497,             0.77716,            0.018267,            0.010664,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.020927,            0.012037,                   0,             0.99892,             0.97344,              0.9944,              0.7731,            0.018917,            0.011221,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021148,            0.012227,                   0,              0.9965,             0.98603,             0.99477,             0.77254,            0.017935,              0.0109,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.020691,            0.012012,                   0,             0.99652,             0.99192,             0.99499,             0.78777,            0.017875,            0.010513,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020518,             0.01188,                   0,              0.9956,             0.99307,             0.99498,             0.79198,            0.017112,            0.010241,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020414,            0.011779,                   0,             0.99535,             0.98967,             0.99495,             0.78424,            0.016976,            0.010263,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.019774,            0.011841,                   0,             0.99435,             0.99192,             0.99497,              0.7866,            0.017545,            0.010352,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.019358,            0.011866,                   0,             0.99535,              0.9897,             0.99491,             0.79451,            0.016783,            0.010018,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019807,            0.011592,                   0,                   1,             0.98812,             0.99494,             0.79347,            0.016783,            0.010008,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.018643,            0.011543,                   0,             0.99197,             0.99827,             0.99485,             0.79921,            0.016454,           0.0098627,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.018941,            0.011084,                   0,             0.98855,             0.99654,             0.99492,              0.8005,            0.016029,            0.009637,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.018398,            0.011118,                   0,             0.99648,             0.99538,             0.99493,             0.79497,            0.016825,           0.0098416,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.018268,            0.011222,                   0,             0.99712,             0.99192,               0.995,             0.80291,            0.016534,           0.0096348,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.017914,            0.010863,                   0,             0.99306,             0.99173,             0.99491,             0.81071,            0.015404,           0.0094939,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.018153,            0.011133,                   0,             0.99539,             0.99746,               0.995,             0.80829,            0.016302,           0.0095639,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018005,            0.011249,                   0,             0.99629,             0.99769,             0.99487,             0.81767,            0.014853,           0.0092134,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.017083,            0.010697,                   0,             0.99139,             0.99307,             0.99495,             0.80997,            0.015366,           0.0096026,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.016881,            0.010596,                   0,              0.9992,             0.98961,             0.99494,             0.82332,            0.014596,           0.0094519,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.017175,            0.010287,                   0,             0.99768,             0.99372,             0.99498,             0.81616,            0.014592,           0.0094604,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.016361,            0.010462,                   0,             0.99526,             0.99538,             0.99494,             0.83268,            0.013885,           0.0088962,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.016421,            0.010751,                   0,             0.99769,             0.99607,             0.99498,              0.8285,            0.014666,           0.0091325,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016089,           0.0099049,                   0,             0.99767,             0.99538,             0.99498,             0.83095,            0.014274,           0.0091374,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016427,            0.010346,                   0,             0.99839,             0.99192,               0.995,              0.8248,            0.014393,           0.0093395,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.016163,            0.010098,                   0,             0.99653,             0.99568,             0.99499,             0.83555,            0.013727,           0.0088759,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.015212,           0.0098887,                   0,             0.99884,             0.99526,             0.99499,             0.83276,             0.01386,           0.0092319,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.015308,           0.0095277,                   0,             0.99848,             0.99538,             0.99499,             0.83678,            0.013464,           0.0088237,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.014934,            0.010004,                   0,             0.99884,             0.99608,               0.995,             0.83499,            0.013667,           0.0087169,                   0,             0.00307,             0.00307,             0.00307
